,date,previous_case,new_cases,delta
0,2021-03-25,8769.0,9128.0,359.0
1,2021-03-26,9128.0,9073.0,-55.0
2,2021-03-27,9073.0,8783.0,-290.0
3,2021-03-28,8783.0,8979.0,196.0
4,2021-03-29,8979.0,8589.0,-390.0
5,2021-03-30,8589.0,8162.0,-427.0
6,2021-03-31,8162.0,8156.0,-6.0
